# Cabeçalhos de seção de man page e sua tradução canônica em pt-BR.
# Formato: INGLÊS<TAB>PORTUGUÊS. # começa comentário; linha vazia é ignorada.
#
# Por que tabela e não modelo: cabeçalho é vocabulário fechado com tradução
# canônica. Um NMT traduziria "SEE ALSO" de um jeito numa página e de outro na
# seguinte, e o leitor perde a âncora que usa para navegar. Aqui a tradução é
# a mesma sempre, e editável sem tocar em código.
#
# Cabeçalho que não estiver nesta tabela fica em inglês, sem erro. Adicionar
# é só acrescentar uma linha.

NAME	NOME
SYNOPSIS	SINOPSE
DESCRIPTION	DESCRIÇÃO
OPTIONS	OPÇÕES
EXAMPLES	EXEMPLOS
FILES	ARQUIVOS
ENVIRONMENT	AMBIENTE
EXIT STATUS	STATUS DE SAÍDA
RETURN VALUE	VALOR DE RETORNO
SEE ALSO	VEJA TAMBÉM
BUGS	BUGS
AUTHOR	AUTOR
AUTHORS	AUTORES
COPYRIGHT	DIREITOS AUTORAIS
HISTORY	HISTÓRICO
NOTES	NOTAS
CAVEATS	RESSALVAS
REPORTING BUGS	RELATANDO BUGS
DIAGNOSTICS	DIAGNÓSTICOS
CONFORMING TO	EM CONFORMIDADE COM
STANDARDS	PADRÕES
AVAILABILITY	DISPONIBILIDADE
COMMANDS	COMANDOS
CONFIGURATION	CONFIGURAÇÃO
SECURITY	SEGURANÇA
COMPATIBILITY	COMPATIBILIDADE

# --- vistos no corpus, além do mínimo pedido ---
NOTE	NOTA
USAGE	USO
VARIABLES	VARIÁVEIS
TARGETS	ALVOS
TABLES	TABELAS
PROTOCOLS	PROTOCOLOS
OUTPUT	SAÍDA
GENERAL	GERAL
SETUP	CONFIGURAÇÃO INICIAL
OPTIONS SUMMARY	RESUMO DAS OPÇÕES
COMMAND SYNOPSIS	SINOPSE DO COMANDO
SOURCE OPTIONS	OPÇÕES DE ORIGEM
SIMPLE PROCESS SELECTION	SELEÇÃO SIMPLES DE PROCESSOS
PROCESS SELECTION BY LIST	SELEÇÃO DE PROCESSOS POR LISTA
SETUID AND SETGID BITS	BITS SETUID E SETGID

# --- comuns em outras páginas ---
OVERVIEW	VISÃO GERAL
INTRODUCTION	INTRODUÇÃO
ARGUMENTS	ARGUMENTOS
OPERANDS	OPERANDOS
EXIT CODES	CÓDIGOS DE SAÍDA
ERRORS	ERROS
WARNINGS	AVISOS
LIMITATIONS	LIMITAÇÕES
IMPLEMENTATION NOTES	NOTAS DE IMPLEMENTAÇÃO
PORTABILITY	PORTABILIDADE
DEPENDENCIES	DEPENDÊNCIAS
INSTALLATION	INSTALAÇÃO
REQUIREMENTS	REQUISITOS
LICENSE	LICENÇA
ACKNOWLEDGEMENTS	AGRADECIMENTOS
